"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"77",98,"Siphoneugena densiflora",1097697368,-15.7834208090807,-47.9298726661488,"cdrep,iddatunl",21931490,211,108,70,1021,280,127,153,216,201,219,195,1580,264,7,75,756,31,447,51
"78",99,"Siphoneugena densiflora",1097970300,-16.7723416525899,-47.6137541731285,"cdrep",22138858,203,127,71,1300,279,102,177,210,189,213,182,1411,240,13,69,660,53,392,70
"79",100,"Siphoneugena densiflora",1097404059,-15.948311,-47.988069,"iddatunl",21966049,206,113,71,1090,277,119,158,212,193,216,189,1670,286,8,77,821,36,468,52
"80",101,"Siphoneugena densiflora",1260606731,-15.590555,-47.591389,"cdround,gass84,iddatunl",21896938,213,110,70,1075,284,127,157,217,204,221,196,1430,239,5,76,686,23,194,44
"81",102,"Siphoneugena densiflora",1143433928,-22.1,-47.02,"gass84,iddatunl",23244792,203,121,64,2241,282,95,187,226,171,226,171,1331,247,20,73,677,75,616,92
"82",103,"Siphoneugena densiflora",1213574412,-15.5,-48.583333,"gass84",21879635,239,101,70,818,305,162,143,240,232,246,225,1418,271,6,79,703,23,194,40
"83",104,"Siphoneugena densiflora",1213624553,-20.54,-47.4,"gass84",22916463,194,87,63,1306,257,120,137,202,182,205,173,1559,282,15,75,775,53,421,84
"84",105,"Siphoneugena densiflora",1098156210,-15.5916,-47.71872,"iddatunl",21896935,214,109,70,1026,284,130,154,218,205,222,198,1440,244,5,75,689,23,197,44
"85",106,"Siphoneugena densiflora",1098325460,-15.52633,-47.6667,"iddatunl",21879656,219,108,69,1027,290,135,155,223,210,227,203,1403,244,4,77,676,20,190,40
"86",107,"Siphoneugena densiflora",1097804118,-16,-47,"gass84,iddatunl",21983353,221,123,70,1260,297,123,174,228,208,231,201,1359,279,5,83,729,21,376,35
"87",109,"Siphoneugena densiflora",1097431887,-15.65,-47.82,"gass84,iddatunl",21905573,214,108,70,1019,283,130,153,218,205,222,197,1469,250,5,76,703,24,200,45
"88",110,"Siphoneugena densiflora",1228415159,-10.8339,-52.8731,"gass84",20911852,254,141,69,663,353,151,202,255,245,260,244,2144,354,3,75,1028,28,559,54
"89",111,"Siphoneugena densiflora",1098118363,-15.9,-48.13,"gass84,iddatunl",21957405,212,110,71,1016,281,127,154,216,199,220,195,1578,284,6,77,758,32,427,48
"90",112,"Siphoneugena densiflora",1098098614,18.141335,-66.768601,"cdround",14898078,201,100,74,1253,265,131,134,213,183,215,183,2574,366,86,47,1041,276,885,276
"91",113,"Siphoneugena densiflora",1097545614,18.103623,-66.051048,"cdround",14906735,213,94,72,1219,274,144,130,225,196,226,196,2150,271,80,33,751,308,682,308
"92",114,"Siphoneugena densiflora",1213624572,-18.58,-46.52,"gass84,iddatunl",22510404,226,111,69,1397,300,141,159,235,213,240,205,1454,296,7,82,762,28,631,44
"93",115,"Siphoneugena densiflora",1098050903,-19.9896094009387,-43.8469084844571,"cdrep,iddatunl",22804228,204,122,65,1949,284,99,185,220,178,224,175,1428,314,11,87,813,36,609,52
"94",117,"Siphoneugena densiflora",1097291880,18.189158,-67.002115,"cdround",14889432,233,109,76,1133,300,158,142,243,218,245,217,2316,318,65,46,921,220,709,239
"95",119,"Siphoneugena densiflora",1095227571,-16.316666,-48.203333,"gass84",22043804,221,123,70,1213,298,124,174,228,204,231,201,1467,259,7,77,714,29,395,45
"96",121,"Siphoneugena densiflora",1095212309,-15.95,-47.91667,"gass84",21966050,208,115,71,1084,279,119,160,214,194,217,191,1736,305,7,78,871,34,483,50
"97",122,"Siphoneugena densiflora",1265926602,-15.742222,-48.149722,"gass84",21922845,213,106,71,951,280,132,148,216,203,220,197,1488,266,6,75,704,29,213,46
"98",123,"Siphoneugena densiflora",1095240467,-14.566666,-48.69917,"gass84",21680912,246,102,69,749,317,170,147,246,241,254,235,1657,304,3,82,838,14,213,34
"99",124,"Siphoneugena densiflora",1087259863,-15.8525,-48.9592,"gass84",21948745,236,95,68,815,302,164,138,238,233,244,225,1561,269,5,77,761,20,218,42
