"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"26",32,"Maytenus obtusifolia",1424505399,-21.79639,-41.04667,"cdround,gass84",23184455,231,85,57,1864,302,155,147,245,207,256,207,1031,149,28,45,392,105,325,105
"27",33,"Maytenus obtusifolia",1424505475,-21.80389,-41.01444,"cdround,gass84,rdatm",23184456,231,84,57,1849,301,156,145,244,207,255,207,1026,148,28,44,385,107,321,107
"28",34,"Maytenus obtusifolia",1090864241,-20.65701,-40.46948,"gass84",22942549,244,80,58,1705,315,179,136,259,223,267,223,1092,171,45,43,452,150,286,150
"29",35,"Maytenus obtusifolia",1090880145,-21.6403,-41.0511,"gass84",23149895,230,87,59,1804,300,153,147,244,207,254,207,1018,148,28,46,403,100,328,100
"30",36,"Maytenus obtusifolia",1837451679,-22.9675,-42.87,"gass84,iddatunl",23426332,233,80,55,2070,306,162,144,258,208,261,208,1186,148,51,35,417,155,405,155
"31",37,"Maytenus obtusifolia",1087692038,-10.64083,-36.80444,"gass84",20869037,252,74,67,1314,308,198,110,249,262,266,233,1379,264,37,65,659,113,216,488
"32",39,"Maytenus obtusifolia",1090876060,-19.3911,-40.0722,"gass84",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"33",40,"Maytenus obtusifolia",1097531409,-11.38542,-37.40189,"gass84,iddatunl",21024543,253,83,68,1348,316,195,121,250,263,268,234,1660,281,58,54,731,182,286,584
"34",41,"Maytenus obtusifolia",1094905548,-11.54389,-37.48667,"gass84",21059101,252,86,68,1384,317,192,125,248,262,267,232,1613,273,57,52,702,185,284,553
"35",42,"Maytenus obtusifolia",1089186548,-11.40417,-37.41889,"gass84,iddatunl",21024542,253,84,67,1388,317,193,124,249,263,268,233,1650,277,58,53,723,182,283,583
"36",44,"Maytenus obtusifolia",1090881632,-19.3475,-39.72931,"gass84",22674727,242,82,61,1657,309,175,134,256,222,263,220,1253,183,50,42,507,183,342,183
"37",45,"Maytenus obtusifolia",1424386410,-7.60778,-38.84694,"cdround,gass84",20238268,244,104,70,1349,318,170,148,249,230,259,224,832,196,3,95,514,25,215,41
"38",46,"Maytenus obtusifolia",1090864064,-20.30328,-40.52056,"gass84",22873428,213,92,61,1676,288,139,149,227,192,234,191,1254,196,45,47,541,156,369,170
"39",47,"Maytenus obtusifolia",1424386515,-7.82278,-38.55556,"cdround,gass84",20281475,231,103,69,1510,306,157,149,238,225,247,208,882,217,5,88,513,30,205,74
"40",49,"Maytenus obtusifolia",1424411534,-22.96722,-42.90306,"cdround,gass84",23426331,233,80,55,2056,306,162,144,258,208,261,208,1196,147,52,35,419,158,409,158
"41",50,"Maytenus obtusifolia",1090880620,-19.60889,-39.79994,"gass84",22726565,242,82,59,1706,311,174,137,257,223,265,220,1218,182,46,44,506,171,334,174
"42",51,"Maytenus obtusifolia",1424489292,-7.26,-34.9075,"gass84,rdatm",20169243,250,86,71,1002,307,187,120,239,255,260,234,1821,287,39,57,799,150,393,706
"43",53,"Maytenus obtusifolia",1087683281,-10.75806,-37.315,"gass84",20894945,243,71,66,1287,296,189,107,230,252,257,224,1306,223,40,60,608,126,195,517
"44",55,"Maytenus obtusifolia",1424482353,-22.91667,-42.23333,"cdround,gass84",23417707,230,68,56,1786,292,171,121,243,209,254,209,917,122,40,32,320,127,267,127
"45",56,"Maytenus obtusifolia",1424465969,-22.95778,-43.06972,"cdround,gass84",23417687,231,81,55,2035,304,159,145,256,206,259,206,1272,154,54,36,451,167,445,167
"46",58,"Maytenus obtusifolia",1095185779,-7.8323,-34.87481,"gass84",20281564,255,77,72,1028,307,201,106,244,261,266,240,2039,328,41,62,924,137,448,770
"47",59,"Maytenus obtusifolia",1423917167,-21.84305,-41.00306,"cdround,gass84,iddatunl",23193096,231,84,57,1883,301,155,146,235,206,256,206,1029,148,28,43,381,109,320,109
"48",60,"Maytenus obtusifolia",1087690362,-11.5,-37.56667,"gass84",21050459,249,89,68,1448,317,187,130,246,261,265,229,1526,253,56,50,655,179,271,524
"49",61,"Maytenus obtusifolia",1089179413,-6.74186,-35.14206,"gass84",20056917,250,91,72,1209,313,187,126,246,256,262,232,1271,198,23,61,557,83,298,478
"50",62,"Maytenus obtusifolia",1424386467,-8.64972,-38.01556,"cdround,gass84",20454288,212,97,67,1756,285,142,143,225,202,228,185,670,132,11,63,317,46,280,128
"51",63,"Maytenus obtusifolia",1094874159,-9.98306,-38.44,"gass84,iddatunl",20730758,227,103,69,1748,302,153,149,232,230,245,201,676,88,21,38,243,76,195,199
"52",65,"Maytenus obtusifolia",1090872277,-20.83806,-40.72167,"gass84",22985743,243,87,60,1737,315,172,143,258,221,265,221,1046,166,39,47,444,124,285,124
"53",66,"Maytenus obtusifolia",1096932019,-20.78826,-40.59023,"gass84",22968466,242,84,60,1721,313,174,139,257,221,265,221,1070,167,42,45,447,137,287,137
"54",67,"Maytenus obtusifolia",1090877030,-18.67111,-39.85611,"gass84",22536484,241,93,64,1533,315,171,144,253,221,261,221,1244,173,53,40,486,176,356,176
"55",68,"Maytenus obtusifolia",1424495595,-7.32694,-34.82444,"cdround,gass84,rdatm",20177885,250,85,71,997,306,187,119,239,256,259,234,1989,318,44,58,885,160,425,777
"56",71,"Maytenus obtusifolia",1587303039,-12.88519,-38.29725,"gass84,iddatunl",21335561,250,65,66,1094,300,202,98,246,261,262,234,1258,191,50,44,508,187,219,394
"57",73,"Maytenus obtusifolia",1089177920,-7.115,-34.86306,"gass84",20134684,254,76,66,970,306,192,114,249,260,262,238,1956,335,40,64,897,134,424,779
"58",74,"Maytenus obtusifolia",1424358738,-17.84583,-39.28528,"cdround,gass84",22363698,243,73,61,1407,304,185,119,248,261,261,225,1577,199,73,24,511,314,314,367
"59",75,"Maytenus obtusifolia",1090884982,-17.74472,-39.23861,"gass84",22337779,243,73,61,1388,304,186,118,249,260,260,225,1504,198,65,26,483,273,273,371
"60",76,"Maytenus obtusifolia",1424239358,-22.93639,-42.29389,"cdround,gass84,iddatunl,rdatm",23417705,231,70,56,1841,294,170,124,244,208,256,208,958,128,41,33,338,129,289,129
"61",77,"Maytenus obtusifolia",1090870194,-20.32972,-40.29222,"gass84",22873433,247,76,58,1675,317,186,131,261,227,269,227,1125,183,53,43,466,172,285,172
"62",78,"Maytenus obtusifolia",1135817243,-4.20603,-38.97117,"gass84",19529785,233,84,76,561,289,179,110,232,236,239,225,1226,266,15,88,709,46,155,172
"63",79,"Maytenus obtusifolia",1077603702,-9.54397,-35.83281,"gass84,iddatunl",20644421,246,66,68,1112,295,198,97,235,251,258,230,1800,298,42,64,873,141,272,759
"64",80,"Maytenus obtusifolia",1094875494,-12.01667,-38.03333,"gass84,iddatunl",21154128,237,83,67,1436,301,178,123,233,235,252,217,1510,236,66,42,606,236,288,477
"65",84,"Maytenus obtusifolia",1424248270,-12.18944,-38.30583,"cdround,gass84",21188681,236,80,65,1523,298,176,122,231,252,252,214,1554,264,71,46,643,229,280,490
"66",86,"Maytenus obtusifolia",1424258808,-21.56278,-41.06528,"cdround,gass84",23132615,230,88,59,1748,299,152,147,243,207,253,207,1010,148,26,47,409,96,327,96
"67",87,"Maytenus obtusifolia",1094863350,-12.01778,-38.04861,"gass84,iddatunl",21154127,237,83,67,1478,300,177,123,233,235,252,216,1481,231,66,41,591,236,283,462
"68",89,"Maytenus obtusifolia",1424262739,-22.93722,-42.29055,"cdround,gass84,iddatunl,rdatm",23417706,231,69,56,1768,293,171,122,243,209,254,209,935,125,40,33,329,127,277,127
"69",91,"Maytenus obtusifolia",1090697544,-19.64556,-39.82389,"gass84,iddatunl",22735205,243,82,59,1718,311,174,137,257,223,266,221,1215,182,46,44,505,171,332,174
"70",92,"Maytenus obtusifolia",1587303235,-22.9275,-42.35778,"gass84,iddatunl",23417704,231,71,56,1829,295,169,126,244,208,256,208,977,131,41,34,345,130,300,130
"71",93,"Maytenus obtusifolia",1424358690,-17.72528,-39.34694,"cdround,gass84,preneglat",22337776,244,75,62,1371,305,185,120,249,261,261,226,1423,183,75,24,468,302,302,305
"72",94,"Maytenus obtusifolia",1424358634,-17.69694,-39.25556,"cdround,gass84,rdatm",22329138,244,74,62,1376,305,186,119,249,261,261,226,1381,183,66,25,453,268,268,310
"73",95,"Maytenus obtusifolia",1424223405,-22.98139,-42.02806,"cdround,gass84,rdatm",23426352,229,61,56,1666,285,177,108,240,209,251,208,818,105,38,28,275,127,206,140
"74",96,"Maytenus obtusifolia",1424239527,-23.04472,-43.53278,"cdround,gass84",23443596,232,87,57,2063,307,155,152,260,207,260,207,1264,161,45,40,462,146,462,146
"75",97,"Maytenus obtusifolia",1424358586,-17.74028,-39.27639,"cdround,gass84",22337778,244,74,62,1365,305,186,119,249,261,261,226,1500,197,69,25,487,286,286,354
"76",98,"Maytenus obtusifolia",1090877026,-18.42394,-39.73889,"gass84",22484647,241,80,62,1543,305,176,129,253,219,260,219,1356,185,66,35,502,222,356,222
"77",99,"Maytenus obtusifolia",1077228079,-11.63611,-41.00194,"gass84",21076296,201,100,71,1444,270,131,139,212,197,216,179,742,103,22,41,274,89,244,133
"78",100,"Maytenus obtusifolia",1123820670,-20.93278,-41.055,"gass84",23003015,241,99,62,1820,321,162,159,257,219,264,218,1045,172,29,53,466,102,307,124
"79",101,"Maytenus obtusifolia",1123815678,-20.46222,-40.34333,"gass84",22907992,246,77,58,1659,316,185,131,260,226,268,226,1120,177,49,42,460,165,288,165
"80",102,"Maytenus obtusifolia",1094882250,-10.75389,-37.34306,"gass84",20894944,235,74,66,1338,291,180,111,222,245,250,216,1303,218,39,59,606,130,194,522
"81",104,"Maytenus obtusifolia",1094810397,-11.88556,-37.95361,"gass84,iddatunl",21128210,240,87,68,1455,306,179,127,236,237,255,219,1370,205,60,41,546,213,265,435
"82",106,"Maytenus obtusifolia",1090696344,-22.95,-42.07806,"gass84",23417711,229,62,55,1714,287,176,111,241,209,252,209,832,108,38,29,283,124,220,124
"83",109,"Maytenus obtusifolia",1097939322,-19.5689,-39.7994,"gass84,iddatunl",22717925,243,83,60,1681,311,174,137,257,223,264,220,1223,182,46,44,508,171,337,174
"84",110,"Maytenus obtusifolia",1587302762,-6.74306,-40.32194,"gass84,iddatunl",20056793,238,102,75,972,310,174,136,234,234,251,226,509,131,3,104,340,11,56,44
"85",111,"Maytenus obtusifolia",1089244353,-6.60028,-40.12083,"gass84",20030878,249,102,75,999,320,185,135,244,245,261,236,458,121,3,105,314,11,45,42
"86",112,"Maytenus obtusifolia",1135909629,-22.5739,-42.5255,"gass84,iddatunl",23339940,230,89,58,2028,305,152,153,254,203,256,203,1214,187,34,51,497,112,455,112
"87",114,"Maytenus obtusifolia",1423899498,-22.735,-41.87611,"cdround,gass84",23374515,229,69,57,1748,290,169,121,241,208,253,208,923,125,40,34,331,125,261,125
"88",116,"Maytenus obtusifolia",1089248306,-4.28631,-39.01056,"gass84",19547064,234,85,75,569,291,179,112,232,236,240,225,1274,269,14,86,730,44,158,195
"89",117,"Maytenus obtusifolia",1423935219,-23.04861,-43.62667,"cdround,gass84,rdatm",23443593,234,87,57,2035,308,157,151,261,209,261,209,1269,163,45,41,467,141,467,141
"90",118,"Maytenus obtusifolia",1090694538,-10.96556,-38.63694,"gass84,iddatunl",20938113,236,114,73,1607,316,160,156,227,238,252,212,738,102,25,38,273,102,182,211
"91",119,"Maytenus obtusifolia",1090697519,-20.80611,-40.74944,"gass84,iddatunl",22977103,242,88,60,1737,315,170,145,257,220,264,220,1061,168,39,47,451,126,291,126
"92",121,"Maytenus obtusifolia",1077595161,-9.21444,-35.50222,"gass84,iddatunl",20575308,246,66,69,1045,295,200,95,236,251,257,231,1659,250,38,58,738,145,297,632
