"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"31",35,"Pradosia lactescens",1094892780,-19.00417,-40.66833,"gass84",22605584,236,108,69,1498,313,157,156,248,216,256,216,1164,191,28,61,559,100,393,100
"32",36,"Pradosia lactescens",1077244993,-13.64889,-39.19611,"gass84,iddatunl",21491060,237,64,64,1175,288,188,100,232,229,251,220,2005,204,116,17,584,387,511,541
"33",37,"Pradosia lactescens",1094905790,-17.66444,-39.17583,"gass84",22320500,244,73,61,1375,304,186,118,249,261,261,226,1286,170,57,26,413,232,232,304
"34",38,"Pradosia lactescens",1094899537,-12.05,-38,"gass84",21162769,238,82,67,1448,301,179,122,234,236,254,217,1603,262,66,45,660,239,301,518
"35",39,"Pradosia lactescens",1090878764,-19.00694,-40.16612,"gass84",22605597,239,96,65,1552,313,166,147,251,218,259,218,1195,181,38,50,520,140,367,140
"36",40,"Pradosia lactescens",1090882637,-19.1969,-40.0978,"gass84",22640158,240,94,64,1595,313,167,146,253,221,261,219,1203,184,37,50,528,141,365,142
"37",41,"Pradosia lactescens",1090516210,-15.39583,-39.56611,"gass84,txmatfuz",21853931,215,79,65,1269,273,153,120,225,211,229,197,1105,137,65,23,353,217,293,244
"38",42,"Pradosia lactescens",1090521351,-16.33333,-39.13333,"gass84,txmatfuz",22044021,239,76,66,1223,294,180,114,224,253,253,221,1483,164,81,20,450,288,288,404
"39",43,"Pradosia lactescens",1090516565,-15.19778,-39.06,"gass84",21810743,242,68,62,1048,294,186,108,250,235,254,227,1619,154,103,10,437,359,423,400
"40",44,"Pradosia lactescens",1087079065,-14.49972,-40.45,"cdround,gass84",21663830,204,92,67,1420,267,131,136,215,187,219,182,569,110,10,69,282,41,206,43
"41",45,"Pradosia lactescens",1090884636,-20.88333,-41.7,"gass84",22994360,202,123,65,1941,291,103,188,218,177,224,175,1271,225,25,65,617,82,470,104
"42",47,"Pradosia lactescens",1090516560,-14.49972,-39.13528,"gass84",21663861,236,64,64,986,285,186,99,238,233,248,222,1810,194,109,18,515,349,468,491
"43",48,"Pradosia lactescens",1087079000,-16.3075,-40.25833,"cdround,gass84",22043994,222,101,66,1649,294,143,151,235,205,240,198,932,123,45,35,354,145,279,150
"44",50,"Pradosia lactescens",1077233312,-14.17667,-39.73333,"gass84,iddatunl",21603367,234,69,64,1213,287,180,107,243,226,248,216,1265,152,70,24,404,235,335,271
"45",51,"Pradosia lactescens",1089177349,-6.49583,-34.98083,"gass84",20005081,258,87,72,1137,317,197,120,254,265,270,241,1624,248,30,62,715,101,388,598
"46",53,"Pradosia lactescens",1090867345,-20.21861,-40.2225,"gass84",22856155,246,77,59,1653,315,185,130,260,227,269,226,1074,178,48,44,448,167,265,169
"47",54,"Pradosia lactescens",1089176794,-6.60444,-35.12917,"gass84",20030997,254,92,73,1215,317,191,126,249,261,266,235,1314,194,22,61,568,82,319,482
"48",56,"Pradosia lactescens",1123818378,-20.11861,-40.59747,"gass84",22830226,214,98,63,1677,291,136,155,228,193,235,192,1261,203,40,51,564,143,388,154
"49",57,"Pradosia lactescens",1086909295,-23.97556,-47.09028,"gass84",23633590,176,94,56,2373,253,88,165,204,145,206,145,1945,293,70,46,787,223,775,223
"50",60,"Pradosia lactescens",1123819970,-19.55793,-39.8325,"gass84",22717925,243,83,60,1681,311,174,137,257,223,264,220,1223,182,46,44,508,171,337,174
"51",61,"Pradosia lactescens",1424275610,-20.02,-40.65972,"cdround,gass84,iddatunl",22812945,207,101,63,1669,285,127,158,222,187,228,186,1290,206,39,52,581,141,407,152
"52",62,"Pradosia lactescens",1094833981,-13.17222,-39.15944,"gass84,iddatunl",21396021,234,65,63,1296,287,185,102,221,233,249,216,1718,187,93,23,555,330,393,507
"53",63,"Pradosia lactescens",1077601990,-9.46028,-36.34167,"gass84",20627128,221,84,67,1459,286,162,124,205,229,235,199,1380,232,28,65,685,122,187,608
"54",64,"Pradosia lactescens",1424235854,-22.92194,-42.99972,"cdround,gass84",23417689,231,82,55,2086,305,157,148,256,205,259,205,1250,155,53,36,446,162,437,162
"55",65,"Pradosia lactescens",1095852071,-7.78316,-34.94472,"cdround,gass84",20272922,252,83,73,1032,308,195,113,241,257,263,236,1919,304,40,60,865,133,436,721
"56",67,"Pradosia lactescens",1123812425,-20.02667,-40.49222,"gass84",22812949,228,93,63,1662,302,155,147,242,207,250,207,1210,198,40,51,540,145,359,145
"57",68,"Pradosia lactescens",1123812901,-20.0975,-40.43694,"gass84",22830230,241,88,61,1689,314,172,142,256,220,263,220,1148,191,42,49,505,148,322,148
"58",69,"Pradosia lactescens",1090512775,-14.41667,-39.08333,"gass84",21655223,241,63,64,976,289,192,97,243,238,253,227,1994,210,121,18,585,387,502,562
"59",70,"Pradosia lactescens",1095852083,-7.79139,-35.27528,"cdround,gass84",20272914,248,96,72,1252,316,184,132,235,253,261,229,1150,190,22,61,518,81,255,447
"60",71,"Pradosia lactescens",1123814568,-19.75111,-40.93472,"gass84",22761098,234,112,65,1712,316,145,171,248,211,255,211,1201,209,26,63,591,94,409,108
"61",73,"Pradosia lactescens",1123814691,-20.05472,-40.47306,"gass84",22821589,238,91,62,1683,311,166,145,252,217,260,217,1165,194,40,51,520,143,336,143
"62",74,"Pradosia lactescens",1123815374,-19.79722,-40.775,"gass84",22769742,209,107,65,1665,288,125,163,223,188,229,187,1287,211,34,57,601,125,425,135
"63",76,"Pradosia lactescens",1077222386,-13.01667,-39.6,"gass84,iddatunl",21361450,220,68,63,1373,275,168,107,235,210,235,200,929,110,42,29,305,149,305,197
"64",77,"Pradosia lactescens",1123809602,-18.90703,-40.73472,"gass84",22579663,238,108,68,1504,315,158,157,250,218,257,218,1142,188,27,62,550,96,386,96
"65",78,"Pradosia lactescens",1077599291,-9.23889,-37.21778,"gass84",20575267,238,91,65,1829,310,172,138,218,241,256,211,710,106,12,55,311,58,166,262
"66",79,"Pradosia lactescens",1077226136,-13.71667,-39.13333,"gass84,iddatunl",21508341,243,64,64,1137,294,194,100,247,235,256,227,2092,212,115,17,602,399,535,548
