"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"132",172,"Chrysophyllum lucentifolium",1228351588,-1.4628,-78.1869,"gass84",18967244,183,99,83,502,244,126,118,177,185,187,174,2498,338,135,28,867,431,480,852
"133",173,"Chrysophyllum lucentifolium",1228295232,-11,-63,"gass84,iddatunl",20946169,243,123,71,493,330,158,172,243,240,249,236,1909,312,16,63,877,78,281,147
"134",174,"Chrysophyllum lucentifolium",1228574581,-4,-53,"gass84",19494889,251,98,80,442,313,192,121,246,253,257,246,1525,266,27,69,748,90,156,748
"135",176,"Chrysophyllum lucentifolium",1140124152,4.5,-52.7,"rdativ",17732336,255,83,76,437,316,207,109,253,260,260,249,3593,538,87,47,1318,331,364,1165
"136",177,"Chrysophyllum lucentifolium",1090151093,-2.99167,-47.40639,"gass84",19279023,264,102,86,289,325,207,118,261,265,268,260,1818,394,29,82,1022,102,155,953
"137",178,"Chrysophyllum lucentifolium",1140124586,5.26667,-52.93333,"rdativ",17568170,258,79,78,411,315,214,101,258,263,263,253,2818,479,51,54,1188,223,223,819
"138",179,"Chrysophyllum lucentifolium",1137624280,-11.41667,-69.08333,"rdativ",21032423,250,110,66,1105,325,159,166,257,233,259,233,1779,247,26,56,726,113,458,140
"139",180,"Chrysophyllum lucentifolium",1090418751,-16.38333,-39.13333,"gass84",22061301,240,76,66,1270,296,181,115,225,255,255,222,1515,162,87,18,444,299,299,396
"140",181,"Chrysophyllum lucentifolium",1139309098,-7.5,-70.25,"rdativ",20220235,258,108,82,484,320,189,131,260,252,263,250,2482,331,51,49,957,206,604,288
"141",182,"Chrysophyllum lucentifolium",1090476135,-15.16667,-39.58333,"gass84",21810731,223,77,65,1225,280,162,118,233,219,237,206,1108,130,60,25,362,198,322,235
"142",183,"Chrysophyllum lucentifolium",1228198559,-16.7261,-64.435,"gass84",22129814,250,110,63,2024,325,151,174,269,220,269,220,2989,462,98,50,1287,339,1287,339
