"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"803",1035,"Trichilia hirta",1259262948,24.33333,-107.1,"cdround,gass84,iddatunl",13618390,253,148,59,3685,360,112,248,293,243,295,204,549,157,1,114,395,6,289,61
"804",1036,"Trichilia hirta",1422154696,16.8,-93.39111,"cdround,elmms,gass84",15173919,228,122,69,1674,313,138,175,241,227,245,204,930,184,11,88,497,37,268,49
"805",1037,"Trichilia hirta",1098400946,-15.56637,-44.45237,"iddatunl",21888374,244,134,68,1451,336,140,196,252,223,257,223,855,191,1,94,508,4,259,4
"806",1038,"Trichilia hirta",1439066638,18.16722,-89.75278,"cdround,elmms,gass84",14888886,247,110,61,2136,334,154,180,258,245,270,216,1227,220,31,58,525,101,320,146
"807",1039,"Trichilia hirta",1259017993,17.25,-88.81666,"gass84",15087629,249,86,63,1576,312,177,135,262,244,265,228,1922,308,47,49,735,178,644,472
"808",1040,"Trichilia hirta",1422165188,16.7069,-93.0139,"elmms,gass84",15199848,242,138,70,1544,341,145,196,251,222,260,220,973,213,1,103,586,6,307,15
"809",1041,"Trichilia hirta",1422288209,18.50528,-89.395,"cdround,gass84",14819775,246,115,62,2227,335,150,185,258,242,268,214,1137,193,25,58,458,97,320,137
"810",1043,"Trichilia hirta",1439054349,19.30194,-96.35472,"cdround,elmms,gass84",14655448,257,101,60,2299,334,166,168,278,229,279,222,1213,296,13,104,765,43,569,45
"811",1045,"Trichilia hirta",1259721351,17.8603,-76.53245,"gass84,iddatunl",14958324,265,69,68,1002,315,214,101,270,255,277,251,1418,251,40,50,586,156,389,158
"812",1046,"Trichilia hirta",1419289480,20.59167,-98.425,"cdround,elmms,gass84",14387558,176,136,61,2516,282,62,220,193,151,202,140,1428,301,29,76,725,103,348,109
"813",1047,"Trichilia hirta",1098320584,-19.3373,-43.6247,"iddatunl",22674634,205,120,65,1872,287,104,183,221,181,225,178,1507,338,8,86,837,30,603,49
"814",1048,"Trichilia hirta",1419291068,18.45833,-95.15833,"cdround,elmms,gass84",14836917,238,92,55,2201,325,160,165,252,235,263,208,2270,430,42,71,1109,150,386,252
"815",1049,"Trichilia hirta",1421084474,18.44833,-95.21167,"cdround,elmms,gass84",14836915,243,94,55,2279,332,163,169,251,240,270,212,2151,422,41,70,1043,137,345,243
"816",1050,"Trichilia hirta",1098322592,-14.18,-44.53,"gass84,iddatunl",21603252,236,130,69,1239,325,139,186,242,219,249,218,903,222,1,96,536,3,239,10
"817",1051,"Trichilia hirta",1422256236,16.65,-93.42,"elmms,gass84",15208478,233,126,69,1628,320,139,181,246,219,250,210,862,180,6,100,506,20,260,34
"818",1052,"Trichilia hirta",1259262726,16.50444,-94.12,"cdround,gass84,iddatunl",15234382,213,116,70,1321,292,128,164,224,201,227,195,1216,240,10,95,680,35,350,50
"819",1053,"Trichilia hirta",1439034055,16.73139,-93.74972,"cdround,elmms,gass84",15191191,240,119,68,1684,325,150,175,254,225,258,216,826,173,7,96,476,22,250,39
"820",1054,"Trichilia hirta",1439065598,16.67667,-93.29833,"cdround,elmms,gass84",15199841,232,128,69,1635,322,137,185,244,218,250,209,937,198,6,99,547,20,285,23
"821",1055,"Trichilia hirta",1439052274,19.11861,-96.12,"cdround,elmms,gass84",14698654,256,81,56,2263,322,178,144,275,244,278,223,1644,401,14,101,1039,46,722,68
"822",1056,"Trichilia hirta",1419465461,18.525,-95.74167,"cdround,elmms,gass84",14819623,265,91,57,2046,345,188,157,279,259,287,236,1558,314,24,79,778,87,283,134
"823",1057,"Trichilia hirta",1259262650,16.28333,-89.03333,"cdround,gass84,iddatunl",15286344,247,71,62,1466,301,188,113,259,243,262,226,2833,579,67,67,1386,218,1142,315
"824",1058,"Trichilia hirta",1259264220,17.25,-88.78333,"cdround,gass84,iddatunl",15087630,249,85,62,1610,311,176,135,262,243,265,226,2027,332,52,49,782,192,688,378
